video_id,instance_id,bbox,fps,frame_start,frame_end,url,word,class_id
69241,0,"[385, 37, 885, 720]",25,1,-1,http://aslbricks.org/New/ASL-Videos/book.mp4,BOOK,0
65225,1,"[190, 25, 489, 370]",25,1,-1,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,BOOK,0
68011,2,"[262, 1, 652, 480]",25,1,-1,https://www.youtube.com/watch?v=0UsjUE-TXns,BOOK,0
68208,3,"[123, 19, 516, 358]",25,1,60,https://www.youtube.com/watch?v=1QOYOZ3g-aY,BOOK,0
68012,4,"[95, 0, 1180, 720]",25,1,-1,https://www.youtube.com/watch?v=aGtIHKEdCds,BOOK,0
70212,5,"[110, 25, 274, 240]",25,2150,2249,https://www.youtube.com/watch?v=hjS0dQDgbjo,BOOK,0
70266,6,"[153, 38, 395, 360]",25,3732,3852,https://www.youtube.com/watch?v=WGfiiDgrq1I,BOOK,0
07085,7,"[16, 2, 235, 240]",25,1,-1,http://www.aslpro.com/main/b/book_english_grammar.swf,BOOK,0
07086,8,"[16, 4, 239, 240]",25,1,-1,http://www.aslpro.com/main/b/book_geography.swf,BOOK,0
07087,9,"[8, 1, 253, 240]",25,1,-1,http://www.aslpro.com/main/b/book_geometry.swf,BOOK,0
07069,10,"[462, 44, 949, 720]",25,1,-1,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,BOOK,0
07088,11,"[29, 4, 227, 240]",25,1,-1,http://www.aslpro.com/main/b/book_history.swf,BOOK,0
07089,12,"[22, 0, 226, 240]",25,1,-1,http://www.aslpro.com/main/b/book_law.swf,BOOK,0
07090,13,"[34, 2, 229, 240]",25,1,-1,http://www.aslpro.com/main/b/book_literature.swf,BOOK,0
07091,14,"[23, 1, 226, 240]",25,1,-1,http://www.aslpro.com/main/b/book_math.swf,BOOK,0
07092,15,"[31, 4, 220, 240]",25,1,-1,http://www.aslpro.com/main/b/book_medicine.swf,BOOK,0
07093,16,"[25, 0, 220, 240]",25,1,-1,http://www.aslpro.com/main/b/book_music.swf,BOOK,0
07068,17,"[234, 17, 524, 414]",25,1,-1,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,BOOK,0
07094,18,"[22, 2, 231, 240]",25,1,-1,http://www.aslpro.com/main/b/book_photography.swf,BOOK,0
07095,19,"[3, 2, 260, 240]",25,1,-1,http://www.aslpro.com/main/b/book_science.swf,BOOK,0
07096,20,"[21, 2, 228, 240]",25,1,-1,http://www.aslpro.com/main/b/book_spelling.swf,BOOK,0
07097,21,"[26, 3, 226, 240]",25,1,-1,http://www.aslpro.com/main/b/book.swf,BOOK,0
07070,22,"[131, 26, 526, 480]",25,1,-1,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,BOOK,0
07098,23,"[21, 3, 231, 240]",25,1,-1,http://www.aslpro.com/main/b/book_trigonometry.swf,BOOK,0
07099,24,"[162, 54, 528, 400]",25,1,-1,http://www.aslsearch.com/signs/videos/book.mp4,BOOK,0
07071,25,"[70, 0, 268, 240]",25,1,-1,https://www.handspeak.com/word/b/book2.mp4,BOOK,0
07072,26,"[75, 0, 270, 240]",25,1,-1,https://www.handspeak.com/word/b/book.mp4,BOOK,0
